Name,Age,Teams,Matches,Runs,Bat avg,Wickets,Bowl avg,DOB,PlayerID,Country
V Kohli,32.0,RCB,192,5878,38.17,4,92.0,1988-05-11,3600,India
SK Raina,34.0,"CSK, GUJ",193,5368,33.34,25,45.8,1986-11-27,3287,India
DA Warner,34.0,"DDV, SUN",142,5254,42.72,0,,1986-10-27,3637,Australia
RG Sharma,33.0,"DCH, MIN",200,5230,31.32,15,31.67,1987-04-30,3474,India
S Dhawan,35.0,"DDV, MIN, DCH, SUN",178,5197,34.42,4,23.25,1985-05-12,3832,India
AB de Villiers,36.0,"DDV, RCB",169,4849,40.41,0,,1984-02-17,3241,South Africa
CH Gayle,41.0,"KKR, RCB, KXI",132,4772,41.14,18,40.5,1979-09-21,2217,West Indies
MS Dhoni,39.0,"CSK, RPS",204,4632,40.99,0,,1981-07-07,3243,India
RV Uthappa,35.0,"MIN, RCB, PWI, KKR, RRO",189,4607,27.92,0,,1985-11-11,3355,India
G Gambhir,39.0,"DDV, KKR",154,4217,31.01,0,,1981-10-14,3107,India
AM Rahane,32.0,"MIN, RRO, RPS, DDV",149,3933,31.72,1,5.0,1988-06-06,3889,India
SR Watson,39.0,"RRO, RCB, CSK",145,3874,30.99,92,29.15,1981-06-17,3017,Australia
KD Karthik,35.0,"DDV, KXI, MIN, RCB, GUJ, KKR",196,3823,26.01,0,,1985-01-06,3210,India
AT Rayudu,35.0,"MIN, CSK",159,3659,29.51,0,,1985-09-23,4069,India
MK Pandey,31.0,"MIN, RCB, PWI, KKR, SUN",146,3268,29.71,0,,1989-10-09,4083,India
YK Pathan,38.0,"RRO, KKR, SUN",174,3204,29.13,42,33.02,1982-11-17,3550,India
KA Pollard,33.0,MIN,164,3023,29.93,60,32.28,1987-12-05,3465,West Indies
BB McCullum,39.0,"KKR, KTK, CSK, GUJ, RCB",109,2880,27.69,0,,1981-09-27,3008,New Zealand
PA Patel,35.0,"CSK, KTK, DCH, SUN, RCB, MIN",139,2848,22.6,0,,1985-09-03,3035,India
Yuvraj Singh,39.0,"KXI, PWI, RCB, DDV, SUN, MIN",132,2750,24.77,36,29.92,1981-12-12,2949,India
V Sehwag,42.0,"DDV, KXI",104,2728,27.56,6,39.17,1978-10-20,2878,India
KL Rahul,28.0,"RCB, SUN, KXI",81,2647,44.86,0,,1992-04-18,4137,India
M Vijay,36.0,"CSK, DDV, KXI",106,2619,25.93,0,,1984-01-04,3626,India
SV Samson,26.0,"RRO, DDV",107,2584,27.78,0,,1994-11-11,4099,India
SE Marsh,37.0,KXI,71,2477,39.95,0,,1983-09-07,3561,Australia
JH Kallis,45.0,"RCB, KKR",98,2427,28.55,65,35.28,1975-10-16,2043,South Africa
DR Smith,37.0,"MIN, DCH, CSK, GUJ",91,2385,28.39,26,31.15,1983-12-04,3157,West Indies
SR Tendulkar,47.0,MIN,78,2334,34.84,0,,1973-04-24,1735,India
SPD Smith,31.0,"PWI, RRO, RPS",95,2333,35.35,0,,1989-02-06,3756,Australia
F du Plessis,36.0,"CSK, RPS",84,2302,32.89,0,,1984-07-13,3847,South Africa
SS Iyer,26.0,DDV,79,2200,31.43,0,,1994-06-12,4387,India
R Dravid,47.0,"RCB, RRO",89,2174,28.23,0,,1973-11-01,2060,India
RA Jadeja,32.0,"RRO, KTK, CSK, GUJ",184,2159,25.4,112,30.98,1988-06-12,3644,India
RR Pant,23.0,DDV,68,2079,35.24,0,,1997-04-10,4542,India
AC Gilchrist,49.0,"DCH, KXI",80,2069,27.22,1,0.0,1971-11-14,2192,Australia
JP Duminy,36.0,"MIN, DCH, DDV",83,2029,39.78,23,36.26,1984-04-14,3208,South Africa
SA Yadav,30.0,"MIN, KKR",101,2024,30.21,0,,1990-09-14,4073,India
AJ Finch,34.0,"RRO, DDV, PWI, SUN, MIN, GUJ, KXI, RCB",87,2005,25.71,1,67.0,1986-11-17,3845,Australia
WP Saha,36.0,"KKR, CSK, KXI, SUN",124,1979,25.7,0,,1984-10-24,3759,India
MEK Hussey,45.0,"CSK, MIN",59,1977,38.76,0,,1975-05-27,3160,Australia
Q de Kock,28.0,"SUN, DDV, RCB, MIN",66,1959,31.6,0,,1992-12-17,3988,South Africa
DA Miller,31.0,"KXI, RRO",80,1850,33.04,0,,1989-10-06,3783,South Africa
DPMD Jayawardene,43.0,"KXI, KTK, DDV",80,1802,28.6,0,,1977-05-27,2104,Sri Lanka
JC Buttler,30.0,"MIN, RRO",58,1714,34.98,0,,1990-08-09,3888,England
MK Tiwary,35.0,"DDV, KKR, RPS, KXI",98,1695,28.73,1,83.0,1985-11-14,3530,India
MA Agarwal,29.0,"RCB, DDV, RPS, KXI",88,1690,21.13,0,,1991-02-16,4104,India
KC Sangakkara,43.0,"KXI, DCH, SUN",71,1687,25.95,0,,1977-10-27,2226,Sri Lanka
Mandeep Singh,29.0,"KKR, KXI, RCB",104,1659,22.12,0,,1991-12-18,4046,India
KS Williamson,30.0,SUN,53,1619,39.49,0,,1990-08-08,3817,New Zealand
NV Ojha,37.0,"RRO, DDV, SUN",113,1554,20.72,0,,1983-07-20,3789,India
AD Russell,32.0,"DDV, KKR",74,1517,29.75,61,28.08,1988-04-29,3836,West Indies
GJ Maxwell,32.0,"DDV, MIN, KXI",82,1505,22.13,19,41.05,1988-10-14,3969,Australia
DJ Bravo,37.0,"MIN, CSK, GUJ",140,1490,22.58,153,24.82,1983-07-10,3166,West Indies
KK Nair,29.0,"RCB, RRO, DDV, KXI",73,1480,24.26,0,,1991-06-12,4123,India
S Badrinath,40.0,CSK,95,1441,30.66,0,,1980-08-30,3608,India
N Rana,26.0,"MIN, KKR",60,1437,28.18,7,20.29,1993-12-27,4400,India
BJ Hodge,45.0,"KKR, KTK, RRO",66,1400,33.33,17,17.82,1974-12-29,3330,Australia
SS Tiwary,30.0,"MIN, RCB, DDV, RPS",88,1379,27.58,0,,1989-12-30,3833,India
HH Pandya,27.0,MIN,80,1349,29.98,42,31.26,1993-11-10,4399,India
SC Ganguly,48.0,"KKR, PWI",59,1349,25.45,10,36.3,1972-08-07,2059,India
DJ Hussey,43.0,"KKR, KXI, CSK",64,1322,26.98,8,59.25,1977-07-15,3595,Australia
CA Lynn,30.0,"DCH, KKR, MIN",41,1280,33.68,0,,1990-10-04,4108,Australia
EJG Morgan,34.0,"RCB, KKR, SUN, KXI",66,1272,25.44,0,,1986-10-09,3416,England
Ishan Kishan,22.0,"GUJ, MIN",51,1211,28.83,0,,1998-07-18,4544,India
TM Dilshan,44.0,"DDV, RCB",52,1153,26.81,5,69.6,1976-10-14,2197,Sri Lanka
KM Jadhav,35.0,"DDV, KTK, RCB, CSK",87,1141,22.82,0,,1985-03-26,4033,India
IK Pathan,36.0,"KXI, DDV, SUN, RPS, GUJ",103,1139,21.49,80,33.11,1984-10-27,3156,India
ML Hayden,49.0,CSK,32,1107,36.9,0,,1971-10-29,1976,Australia
LMP Simmons,35.0,MIN,29,1079,39.96,1,34.0,1985-01-25,3447,West Indies
LRPL Taylor,36.0,"RCB, RRO, DDV, PWI",55,1017,25.43,0,,1984-08-03,3348,New Zealand
M Vohra,27.0,"KXI, RCB, RRO",49,1012,23.53,0,,1993-07-18,4052,India
KP Pietersen,40.0,"RCB, DDV, RPS",36,1001,37.07,7,30.71,1980-06-27,3238,England
KH Pandya,29.0,MIN,71,1000,25.0,46,32.78,1991-03-24,4552,India
RA Tripathi,29.0,"RPS, RRO, KKR",45,988,25.33,0,,1991-02-03,4679,India
Y Venugopal Rao,38.0,"DCH, DDV, SUN",65,985,22.39,6,56.17,1982-02-26,3288,India
JA Morkel,39.0,"CSK, RCB, DDV, RPS",91,974,24.35,85,27.75,1981-10-06,3162,South Africa
A Symonds,45.0,"DCH, MIN",39,974,36.07,20,33.7,1975-09-06,2907,Australia
MC Henriques,33.0,"KKR, DDV, RCB, SUN",57,969,28.5,38,32.74,1987-01-02,3680,Australia
CL White,37.0,"RCB, DCH, SUN",47,954,26.5,1,86.0,1983-08-18,3325,Australia
Shubman Gill,21.0,KKR,41,939,33.54,0,,1999-08-09,4769,India
BA Stokes,29.0,"RPS, RRO",42,920,26.29,28,34.36,1991-04-06,3883,England
AR Patel,26.0,"KXI, DDV",97,913,18.26,80,30.7,1994-01-20,4310,India
SP Narine,32.0,KKR,120,892,16.83,127,24.78,1988-05-26,3922,West Indies
HH Gibbs,46.0,"DCH, MIN",36,886,27.69,0,,1974-02-23,2080,South Africa
STR Binny,36.0,"MIN, RRO, RCB",95,880,19.13,22,34.45,1984-03-06,4089,India
Harbhajan Singh,40.0,"MIN, CSK",160,829,15.64,150,26.55,1980-03-07,2138,India
PP Shaw,21.0,DDV,38,826,21.74,0,,1999-09-11,4759,India
MP Stoinis,31.0,"KXI, RCB, DDV",46,825,28.45,28,30.43,1989-08-16,4389,Australia
MS Bisla,36.0,"KXI, KKR, RCB",39,798,21.0,0,,1984-10-27,4055,India
JM Bairstow,31.0,SUN,21,790,41.58,0,,1989-09-26,3900,England
ST Jayasuriya,51.0,MIN,30,768,27.43,13,28.54,1969-06-30,872,Sri Lanka
Shakib Al Hasan,33.0,"KKR, SUN",63,746,21.31,59,28.0,1987-03-24,3426,Bangladesh
GC Smith,39.0,"RRO, PWI",29,739,28.42,0,,1981-01-02,3014,South Africa
AD Mathews,33.0,"KKR, PWI, DDV",49,724,23.35,27,39.96,1987-02-06,3628,Sri Lanka
TL Suman,37.0,"DCH, MIN, PWI",43,676,21.13,6,37.17,1983-12-15,4086,India
AM Nayar,37.0,"MIN, KXI, PWI, RRO",60,672,17.68,9,35.78,1983-08-10,3704,India
GJ Bailey,38.0,"CSK, KXI, RPS",40,663,24.56,0,,1982-07-09,3929,Australia
V Shankar,29.0,"CSK, SUN, DDV",40,654,29.73,6,38.17,1991-01-26,4027,India
DJ Hooda,25.0,"RRO, SUN, KXI",68,625,16.89,7,46.0,1995-04-19,4404,India
JD Ryder,36.0,"RCB, PWI",29,604,21.57,8,37.88,1984-06-08,3532,New Zealand
PP Chawla,31.0,"KXI, KKR, CSK",164,584,11.92,156,27.33,1988-12-24,3351,India
HM Amla,37.0,KXI,16,577,44.38,0,,1983-03-31,3236,South Africa
CH Morris,33.0,"CSK, RRO, DDV, RCB",70,551,23.96,79,24.29,1987-04-30,3989,South Africa
CJ Anderson,30.0,"MIN, DDV, RCB",30,538,24.45,11,47.09,1990-12-13,3983,New Zealand
RS Bopara,35.0,"KXI, SUN",24,531,29.5,11,26.55,1985-04-05,3460,England
JP Faulkner,30.0,"PWI, KXI, RRO, GUJ",60,527,21.08,59,30.14,1990-04-29,3930,Australia
N Pooran,25.0,KXI,21,521,32.56,0,,1995-02-10,4587,West Indies
M Manhas,41.0,"DDV, PWI, CSK",55,514,22.35,0,,1979-12-10,4080,India
Gurkeerat Singh,30.0,"KXI, RCB",41,511,21.29,5,19.4,1990-06-29,4212,India
OA Shah,42.0,"KKR, KTK, RRO",23,506,33.73,0,,1978-10-22,2974,England
PC Valthaty,37.0,"RRO, KXI",23,505,22.95,7,29.29,1983-07-12,4051,India
D Padikkal,20.0,RCB,15,473,31.53,0,,2000-07-07,4948,India
DT Christian,37.0,"DCH, RCB, RPS, DDV",40,446,17.15,34,30.5,1983-04-05,3766,Australia
SN Khan,23.0,"RCB, KXI",38,441,25.94,0,,1997-10-27,4408,India
E Lewis,28.0,MIN,16,430,26.88,0,,1991-12-27,4538,West Indies
SA Asnodkar,36.0,RRO,20,423,21.15,0,,1984-04-29,4146,India
NLTC Perera,31.0,"CSK, KTK, MIN, SUN, KXI, RPS",37,422,19.18,31,32.77,1989-03-04,3747,Sri Lanka
JR Hopes,42.0,"KXI, DDV",21,417,26.06,14,39.14,1978-10-24,3273,Australia
R Ashwin,34.0,"CSK, RPS, KXI, DDV",154,412,10.84,138,26.81,1986-09-17,3788,India
J Botha,38.0,"RRO, DDV, KKR",34,409,20.45,25,32.0,1982-02-05,3329,South Africa
LR Shukla,39.0,"KKR, DDV",47,405,15.0,15,31.67,1981-06-05,2880,India
AL Menaria,30.0,RRO,29,401,19.1,3,48.0,1990-10-29,4097,India
MV Boucher,44.0,"RCB, KKR",31,394,28.14,0,,1976-03-12,2116,South Africa
CA Pujara,32.0,"KKR, RCB, KXI",29,390,20.53,0,,1988-01-25,3826,India
Azhar Mahmood,45.0,"KXI, KKR",23,388,20.42,29,24.14,1975-02-28,2113,Pakistan
DB Ravi Teja,33.0,"DCH, SUN",32,375,19.74,1,28.0,1987-05-09,4112,India
S Sohal,33.0,"KXI, DCH",22,368,18.4,0,,1987-10-11,4127,United States
R Tewatia,27.0,"RRO, KXI, DDV",34,366,30.5,24,28.33,1993-05-20,4379,India
P Negi,27.0,"DDV, CSK, RCB",50,365,14.04,34,27.62,1993-06-01,4038,India
A Mishra,38.0,"DDV, DCH, SUN",150,362,11.68,160,24.19,1982-11-24,3108,India
R Bhatia,34.0,"DDV, KKR, RRO, RPS",95,342,11.4,71,28.46,1986-10-22,4054,India
P Kumar,34.0,"RCB, KXI, MIN, SUN, GUJ",119,340,8.95,90,36.12,1986-02-10,3514,India
AP Tare,33.0,"MIN, SUN, DDV",35,339,14.13,0,,1987-07-11,4072,India
SW Billings,29.0,"DDV, CSK",22,334,17.58,0,,1991-06-15,4428,England
JEC Franklin,40.0,MIN,20,327,29.73,9,24.22,1980-07-11,2263,New Zealand
RN ten Doeschate,40.0,KKR,29,326,23.29,2,47.0,1980-06-30,3407,Netherlands
KV Sharma,33.0,"RCB, SUN, MIN, CSK",68,317,15.1,59,27.29,1987-10-23,4115,India
R Vinay Kumar,36.0,"RCB, KTK, KKR, MIN",105,310,11.07,105,28.25,1984-12-02,3782,India
MM Ali,33.0,RCB,19,309,20.6,10,30.8,1987-06-18,4271,England
DB Das,34.0,KKR,31,304,21.71,0,,1986-09-22,4056,India
C de Grandhomme,34.0,"KKR, RCB",25,303,18.94,6,55.5,1986-07-22,3936,New Zealand
LA Pomersbach,36.0,"KXI, RCB",17,302,27.45,0,,1984-09-28,3691,Australia
UBT Chand,27.0,"DDV, RRO, MIN",21,300,15.0,0,,1993-03-26,4030,India
DJG Sammy,37.0,"SUN, RCB",22,295,19.67,11,31.82,1983-12-20,3228,West Indies
SP Goswami,31.0,"RCB, KKR, RRO, SUN",31,293,14.65,0,,1989-05-18,4094,India
Y Nagar,30.0,DDV,26,285,20.36,4,31.25,1990-06-01,4036,India
GH Vihari,27.0,"SUN, DDV",24,284,14.2,1,47.0,1993-10-13,4117,India
VVS Laxman,46.0,"DCH, KTK",20,282,15.67,0,,1974-01-11,2079,India
SM Curran,22.0,"KXI, CSK",23,281,23.42,23,29.0,1998-03-06,4787,England
B Chipli,37.0,"RCB, DCH, DDV",23,280,18.67,0,,1983-01-27,4157,India
A Ashish Reddy,29.0,"DCH, SUN",31,280,18.67,18,22.0,1991-02-24,4107,India
MJ Lumb,40.0,"RRO, DCH",12,278,23.17,0,,1980-12-02,3781,England
SO Hetmyer,23.0,"RCB, DDV",17,275,21.15,0,,1996-12-26,4681,West Indies
MJ Guptill,34.0,"MIN, KXI, SUN",13,270,22.5,0,,1986-09-30,3633,New Zealand
R Sathish,39.0,"MIN, KXI, KKR",34,270,15.88,3,77.33,1981-01-14,4049,India
M Kaif,40.0,"RRO, KXI, RCB",29,259,14.39,0,,1980-01-12,2213,India
R Parag,19.0,RRO,19,246,20.5,2,74.0,2001-10-11,4943,India
SM Katich,45.0,KXI,11,241,24.1,0,,1975-08-21,2743,Australia
BCJ Cutting,33.0,"RRO, SUN, MIN",21,238,21.64,10,42.9,1987-01-30,3995,Australia
MD Mishra,36.0,"DCH, PWI",18,237,14.81,0,,1984-09-02,4186,India
MR Marsh,29.0,"DCH, PWI, RPS, SUN",21,226,17.38,20,21.0,1991-10-20,3912,Australia
PJ Cummins,27.0,"KKR, DDV",30,223,17.15,29,31.31,1993-08-05,3909,Australia
K Goel,33.0,KXI,22,218,14.53,0,,1986-12-24,4139,India
AA Jhunjhunwala,38.0,"RRO, PWI, DCH",21,217,16.69,1,129.0,1982-01-12,4179,India
CA Ingram,35.0,DDV,15,205,17.08,0,,1985-03-07,3823,South Africa
TM Head,26.0,RCB,10,205,29.29,2,40.5,1993-12-29,4386,Australia
RD Gaikwad,23.0,CSK,6,204,51.0,0,,1997-01-31,4931,India
PD Collingwood,44.0,DDV,8,204,40.8,5,20.2,1976-05-26,2973,England
SK Warne,51.0,RRO,55,198,9.9,56,25.84,1969-09-13,1856,Australia
SP Fleming,47.0,CSK,10,196,21.78,0,,1973-01-04,1977,New Zealand
JC Archer,25.0,RRO,35,195,15.0,46,21.33,1995-01-04,4777,England
AS Raut,33.0,RRO,22,194,21.56,0,,1987-03-03,4154,India
Salman Butt,36.0,KKR,7,193,27.57,0,,1984-07-10,3132,Pakistan
BJ Rohrer,39.0,DDV,8,193,32.17,0,,1981-03-26,4000,Australia
YV Takawale,36.0,"MIN, RCB",16,192,24.0,0,,1984-05-11,4166,India
Bipul Sharma,37.0,"KXI, SUN",33,187,23.38,17,33.65,1983-09-28,4041,India
K Gowtham,32.0,"RRO, KXI",24,186,14.31,13,43.23,1988-10-20,4668,India
Washington Sundar,21.0,"RPS, RCB",36,186,16.91,24,31.21,1999-05-10,4684,India
B Kumar,30.0,"PWI, SUN",121,183,7.32,136,23.92,1990-05-02,3991,India
FY Fazal,35.0,RRO,12,183,18.3,0,,1985-07-09,4185,India
AC Voges,41.0,RRO,9,181,45.25,0,,1979-04-10,3463,Australia
CR Brathwaite,32.0,"DDV, SUN, KKR",16,181,13.92,13,29.15,1988-07-18,3908,West Indies
JJ Roy,30.0,"GUJ, DDV",8,179,29.83,0,,1990-07-21,4325,England
AB Agarkar,43.0,"KKR, DDV",42,179,17.9,29,39.69,1977-04-12,2159,India
C Munro,33.0,"KKR, DDV",13,177,14.75,0,,1987-11-03,3985,New Zealand
MF Maharoof,36.0,DDV,20,177,17.7,27,19.26,1984-07-09,3171,Sri Lanka
DH Yagnik,37.0,RRO,25,170,17.0,0,,1983-06-22,4103,India
S Dube,27.0,RCB,15,169,16.9,4,20.25,1993-06-26,4945,India
CM Gautam,34.0,"DDV, MIN",13,169,16.9,0,,1986-08-03,4032,India
MN van Wyk,41.0,KKR,5,167,55.67,0,,1979-03-20,3129,South Africa
DW Steyn,37.0,"RCB, DCH, SUN, GUJ",95,167,7.59,97,25.86,1983-06-27,3242,South Africa
S Gopal,27.0,"MIN, RRO",45,164,12.62,48,24.21,1993-04-09,4378,India
PA Reddy,29.0,"DCH, SUN",12,164,16.4,0,,1991-11-02,4113,India
MN Samuels,39.0,"PWI, DDV",15,161,12.38,9,31.56,1981-05-02,2255,West Indies
MG Johnson,39.0,"MIN, KXI, KKR",54,160,12.31,61,27.92,1981-02-11,3334,Australia
RE van der Merwe,35.0,"RCB, DDV",21,159,14.45,21,23.71,1984-12-31,3658,Netherlands
R McLaren,37.0,"MIN, KXI, KKR",18,159,19.88,12,45.17,1983-09-02,3736,South Africa
R Dhawan,30.0,"MIN, KXI",24,153,21.86,18,34.06,1990-02-19,4064,India
AD Hales,31.0,SUN,6,148,24.67,0,,1989-03-01,3887,England
SM Pollock,47.0,MIN,13,147,18.38,11,27.36,1973-07-16,2039,South Africa
Mohammad Nabi,35.0,SUN,14,146,16.22,11,29.27,1985-01-01,3665,Afghanistan
S Vidyut,39.0,CSK,9,145,18.13,1,22.0,1981-03-12,4163,India
Abhishek Sharma,20.0,"DDV, SUN",14,143,17.88,3,37.33,2000-04-09,4756,India
N Saini,32.0,KXI,10,140,14.0,0,,1988-10-28,4047,India
Rashid Khan,22.0,SUN,62,139,8.69,75,20.49,1998-09-20,4484,Afghanistan
Sachin Baby,32.0,"RRO, RCB",18,137,17.13,2,4.0,1988-12-18,4098,India
S Anirudha,33.0,"CSK, SUN",20,136,17.0,0,,1987-04-14,4136,India
PK Garg,20.0,SUN,14,133,14.78,0,,2000-11-30,5866,India
SB Styris,45.0,"DCH, CSK",12,131,18.71,8,34.5,1975-10-07,2899,New Zealand
W Jaffer,42.0,RCB,8,130,16.25,0,,1978-02-16,2208,India
HV Patel,30.0,"RCB, DDV",48,128,9.85,46,29.33,1990-11-23,4125,India
Kamran Akmal,38.0,RRO,6,128,25.6,0,,1982-01-13,3056,Pakistan
P Dogra,36.0,"RRO, KXI, KKR",13,127,11.55,0,,1984-11-19,4180,India
UT Khawaja,34.0,RPS,6,127,21.17,0,,1986-12-18,3842,Australia
D Wiese,35.0,RCB,15,127,31.75,16,25.13,1985-05-18,4228,South Africa
M Morkel,36.0,"RRO, DDV, KKR",70,126,11.45,77,27.13,1984-06-10,3451,South Africa
K Rabada,25.0,DDV,35,125,12.5,61,18.1,1995-05-25,4339,South Africa
MC Juneja,30.0,DDV,7,125,17.86,0,,1990-12-09,4029,India
BB Samantray,32.0,"DCH, SUN",9,125,25.0,0,,1988-12-14,4114,India
B Lee,44.0,"KXI, KKR",38,124,12.4,25,43.8,1976-08-11,2205,Australia
AB McDonald,39.0,"DDV, RCB",11,123,24.6,11,23.73,1981-05-06,3632,Australia
MM Sharma,32.0,"CSK, KXI, DDV",86,122,8.13,92,26.85,1988-09-18,4028,India
UT Yadav,33.0,"DDV, KKR, RCB",121,122,8.71,119,29.9,1987-10-25,3786,India
DL Vettori,41.0,"DDV, RCB",34,121,15.13,28,31.36,1979-01-27,2090,New Zealand
Niraj Patel,39.0,RRO,9,121,30.25,0,,1981-03-26,4147,India
AC Blizzard,36.0,MIN,7,120,17.14,0,,1984-06-27,4061,Australia
RJ Harris,41.0,"DCH, KXI",37,117,9.75,45,23.27,1979-11-10,3638,Australia
Z Khan,42.0,"RCB, MIN, DDV",100,117,8.36,102,27.27,1978-07-10,2245,India
Misbah-ul-Haq,46.0,RCB,8,117,16.71,0,,1974-05-28,2262,Pakistan
KK Cooper,31.0,RRO,25,116,12.89,33,22.94,1989-12-16,4093,West Indies
DJM Short,30.0,RRO,7,115,16.43,1,19.0,1990-09-08,4729,Australia
TG Southee,32.0,"CSK, RRO, MIN, RCB",40,115,14.38,28,46.18,1988-11-12,3542,New Zealand
M Kartik,44.0,"KKR, PWI, RCB, KXI",56,113,16.14,30,46.27,1976-11-09,2209,India
DJ Harris,40.0,DCH,4,111,27.75,0,,1979-12-31,4209,Australia
Abdul Samad,19.0,SUN,12,111,22.2,1,96.0,2001-10-28,5863,India
LJ Wright,35.0,PWI,7,106,21.2,2,62.0,1985-07-03,3499,England
JDP Oram,42.0,"CSK, RRO, MIN",18,106,13.25,9,38.78,1978-07-28,2811,New Zealand
TK Curran,25.0,"KKR, RRO",10,106,26.5,9,36.22,1995-12-03,4693,England
DS Kulkarni,32.0,"MIN, RRO, GUJ",91,104,11.56,86,28.21,1988-10-12,4066,India
JO Holder,29.0,"CSK, SUN, KKR",18,104,14.86,19,28.37,1991-05-11,3998,West Indies
RJ Quiney,38.0,RRO,7,103,14.71,0,,1982-08-20,3974,Australia
MS Gony,36.0,"CSK, DCH, KXI, GUJ",44,99,9.9,37,34.78,1984-04-01,3569,India
SD Chitnis,33.0,"MIN, RRO, KXI",11,99,14.14,2,30.0,1987-06-05,4042,India
MJ Clarke,39.0,PWI,6,98,16.33,2,33.5,1981-02-04,3067,Australia
CJ Ferguson,36.0,PWI,9,98,16.33,0,,1984-11-21,3643,Australia
MA Starc,30.0,RCB,27,96,13.71,34,20.38,1990-01-30,3830,Australia
DJ Jacobs,38.0,MIN,7,92,13.14,0,,1982-04-11,4198,South Africa
PR Shah,33.0,"MIN, RRO",16,92,11.5,0,,1987-03-11,4132,India
S Rana,36.0,"PWI, RCB",11,91,22.75,0,,1984-09-18,4111,India
AJ Tye,34.0,"GUJ, KXI, RRO",27,91,10.11,40,21.8,1986-12-12,4383,Australia
MJ McClenaghan,34.0,MIN,56,91,7.0,71,25.39,1986-11-06,3984,New Zealand
RT Ponting,46.0,"KKR, MIN",10,91,10.11,0,,1974-12-19,2041,Australia
AD Nath,27.0,"GUJ, KXI, RCB",14,90,9.0,0,,1993-10-05,4543,India
SL Malinga,37.0,MIN,122,88,5.5,170,19.85,1983-08-28,3178,Sri Lanka
Iqbal Abdulla,31.0,"KKR, RRO, RCB",49,88,44.0,39,28.44,1989-02-12,4057,India
AP Majumdar,36.0,PWI,4,87,21.75,0,,1984-04-30,4079,India
Ankit Sharma,29.0,"DCH, SUN, RRO, RPS",22,87,12.43,12,37.5,1991-04-20,4106,India
MK Lomror,21.0,RRO,7,87,17.4,0,,1999-11-16,4541,India
RE Levi,32.0,MIN,6,83,13.83,0,,1988-01-14,3939,South Africa
WPUJC Vaas,46.0,DCH,13,81,10.13,18,19.72,1974-01-21,2000,Sri Lanka
Shahid Afridi,40.0,DCH,10,81,10.13,9,25.0,1980-01-03,2152,Pakistan
LA Carseldine,45.0,RRO,5,81,20.25,1,6.0,1975-11-17,4169,Australia
AD Mascarenhas,43.0,"RRO, KXI",13,79,8.78,19,18.74,1977-10-30,3478,England
JR Philippe,23.0,RCB,5,78,19.5,0,,1997-01-06,5860,Australia
DL Chahar,28.0,"RPS, CSK",48,78,11.14,45,28.24,1992-07-08,4557,India
RK Singh,23.0,KKR,10,77,11.0,0,,1997-12-10,4665,India
NM Coulter-Nile,33.0,"MIN, DDV, KKR",33,77,8.56,41,22.56,1987-11-10,4001,Australia
B Akhil,43.0,"RCB, KTK",15,76,12.67,6,40.33,1977-07-10,4131,India
IR Jaggi,31.0,"DCH, KKR",7,76,15.2,0,,1989-01-27,4196,India
TR Birt,39.0,DDV,5,75,15.0,0,,1981-09-12,3757,Australia
SE Rutherford,22.0,"DDV, MIN",7,73,14.6,1,59.0,1998-08-15,4838,West Indies
