Name,Age,Teams,Matches,Runs,Bat avg,Wickets,Bowl avg,DOB,PlayerID,Country
RR Sarwan,40.0,KXI,4,73,18.25,0,,1980-06-23,2220,West Indies
M Klinger,40.0,KTK,4,73,18.25,0,,1980-04-07,4202,Australia
LS Livingstone,27.0,RRO,4,70,23.33,0,,1993-04-08,4692,England
AA Bilakhia,34.0,DCH,7,69,13.8,0,,1986-05-31,4159,India
RR Powar,42.0,"KXI, KTK",27,67,22.33,13,40.54,1978-05-20,3164,India
H Klaasen,29.0,"RRO, RCB",7,66,13.2,0,,1991-07-30,4731,South Africa
R Sharma,34.0,"DCH, PWI, DDV",44,66,4.71,40,27.15,1986-11-30,3923,India
Mohammad Hafeez,40.0,KKR,8,64,9.14,2,34.0,1980-10-17,3101,Pakistan
JD Unadkat,29.0,"KKR, RCB, DDV, RPS, RRO",80,64,9.14,81,29.9,1991-10-18,3838,India
CR Woakes,31.0,"KKR, RCB",18,63,10.5,25,23.04,1989-02-03,3846,England
WD Parnell,31.0,"PWI, DDV",26,63,7.0,26,26.96,1989-07-30,3642,South Africa
Anirudh Singh,40.0,DCH,5,63,15.75,0,,1980-02-08,4134,India
A Flintoff,43.0,CSK,3,62,31.0,2,52.5,1977-06-12,2148,England
JDS Neesham,30.0,"DDV, KXI",9,61,12.2,3,79.67,1990-09-17,3986,New Zealand
S Aravind,36.0,RCB,38,59,14.75,45,23.09,1984-08-04,4120,India
Kuldeep Yadav,26.0,KKR,45,57,9.5,40,30.9,1994-12-14,4652,India
Mohammed Shami,30.0,"KKR, DDV, KXI",63,56,5.6,60,33.45,1990-03-09,3993,India
WA Mota,39.0,KXI,12,56,9.33,4,24.25,1981-09-20,4140,India
M Rawat,35.0,"RRO, PWI",18,55,11.0,0,,1985-10-25,4085,India
I Sharma,32.0,"KKR, DCH, SUN, RPS, KXI, DDV",90,55,9.17,71,36.73,1988-02-09,3470,India
J Suchith,26.0,"MIN, DDV, KXI",15,54,27.0,12,33.0,1994-01-16,4401,India
RR Rossouw,31.0,RCB,5,53,10.6,0,,1989-09-10,4321,South Africa
A Chopra,43.0,KKR,7,53,8.83,0,,1977-09-19,3136,India
Shoaib Malik,38.0,DDV,7,52,13.0,2,42.5,1982-01-02,2879,Pakistan
RP Singh,35.0,"DCH, KTK, MIN, RCB, RPS",82,52,3.47,90,25.98,1985-06-12,3332,India
KB Arun Karthik,34.0,"CSK, RCB",17,51,10.2,0,,1986-02-15,4121,India
R Rampaul,36.0,RCB,12,51,10.2,15,19.87,1984-10-15,3149,West Indies
RV Gomez,35.0,"KTK, PWI",13,50,10.0,5,25.8,1985-10-16,4076,India
VR Aaron,31.0,"DDV, RCB, KXI, RRO",50,50,10.0,42,34.02,1989-10-29,3916,India
AS Yadav,39.0,DCH,8,49,9.8,0,,1981-12-23,4142,India
SB Bangar,48.0,"DCH, KKR",12,49,7.0,4,54.75,1972-11-10,2999,India
AG Paunikar,32.0,RRO,5,49,9.8,0,,1988-04-18,4194,India
SN Thakur,29.0,"KXI, RPS, CSK",45,48,8.0,46,29.13,1991-10-16,4393,India
Yashpal Singh,39.0,KKR,8,47,11.75,0,,1981-11-27,4153,India
Mohammed Siraj,26.0,"SUN, RCB",35,46,11.5,39,27.79,1994-03-13,4675,India
Sandeep Sharma,27.0,"KXI, SUN",92,44,8.8,109,24.28,1993-05-18,4048,India
LH Ferguson,29.0,"RPS, KKR",14,44,,11,38.55,1991-06-13,4609,New Zealand
Sunny Singh,34.0,KXI,6,43,10.75,0,,1986-12-18,4050,India
AB Barath,30.0,KXI,3,42,21.0,0,,1990-04-14,3739,West Indies
SK Trivedi,38.0,RRO,76,42,6.0,65,29.29,1982-04-09,4102,India
A Nehra,41.0,"MIN, DDV, PWI, CSK, SUN",88,41,5.86,106,23.41,1979-04-29,2168,India
JJ Bumrah,27.0,MIN,92,41,13.67,109,23.73,1993-06-12,4062,India
BR Dunk,33.0,MIN,3,40,13.33,0,,1987-11-03,4337,Australia
YBK Jaiswal,18.0,RRO,3,40,13.33,0,,2001-12-28,5857,India
LPC Silva,41.0,DCH,3,40,20.0,0,,1979-12-14,2882,Sri Lanka
S Nadeem,31.0,"DDV, SUN",71,39,3.0,47,37.19,1989-12-08,4035,India
DJ Thornely,42.0,MIN,6,39,19.5,3,13.33,1978-01-10,4143,Australia
AUK Pathan,36.0,RCB,9,39,7.8,0,,1984-06-17,4197,India
MM Patel,37.0,"RRO, MIN, GUJ",63,39,6.5,74,22.95,1983-12-07,3352,India
Umar Gul,36.0,KKR,6,39,13.0,12,15.33,1984-04-14,3100,Pakistan
SP Jackson,34.0,KKR,4,38,19.0,0,,1986-09-27,4122,India
S Narwal,38.0,"RRO, KKR",7,37,12.33,5,40.4,1982-04-16,4183,India
Anureet Singh,32.0,"KKR, KXI, RRO",23,36,9.0,18,34.61,1988-02-03,4155,India
L Balaji,39.0,"CSK, KKR, KXI",73,36,4.5,76,26.68,1981-09-27,3057,India
KW Richardson,29.0,"PWI, RRO, RCB",14,36,12.0,18,24.67,1991-12-02,3996,Australia
Sohail Tanvir,36.0,RRO,11,36,12.0,23,11.57,1984-12-12,3502,Pakistan
Joginder Sharma,37.0,CSK,16,36,9.0,12,35.83,1983-10-23,3244,India
AN Ahmed,32.0,"MIN, RCB",17,36,36.0,12,40.75,1988-05-11,4059,India
B Sumanth,32.0,DCH,5,35,35.0,0,,1988-10-05,4192,India
A Kumble,50.0,RCB,42,35,11.67,45,23.51,1970-10-17,962,India
A Mithun,31.0,RCB,16,34,6.8,7,67.43,1989-10-25,3767,India
L Ronchi,39.0,MIN,5,34,6.8,0,,1981-04-23,3573,New Zealand
S Sreesanth,37.0,"KXI, KTK, RRO",44,34,8.5,40,29.85,1983-06-02,3327,India
AP Dole,33.0,RRO,3,34,17.0,5,22.4,1987-09-10,4190,India
N Jagadeesan,24.0,CSK,5,33,16.5,0,,1995-12-24,4751,India
D Salunkhe,38.0,RRO,6,33,16.5,1,78.0,1982-12-09,4141,India
Imran Tahir,41.0,"DDV, RPS, CSK",58,33,8.25,80,21.09,1979-03-27,3850,South Africa
AT Carey,29.0,DDV,3,32,16.0,0,,1991-08-27,4726,Australia
Basil Thampi,27.0,"GUJ, SUN",20,32,32.0,17,40.82,1993-11-09,4659,India
CJ Jordan,32.0,"RCB, SUN, KXI",20,32,6.4,21,28.67,1988-04-10,4238,England
MJ Santner,28.0,CSK,6,32,32.0,6,24.5,1992-05-02,4429,New Zealand
RJ Peterson,41.0,MIN,5,32,10.67,3,23.33,1979-04-08,3049,South Africa
NS Naik,26.0,"KXI, KKR",4,31,7.75,0,,1994-09-11,4392,India
P Simran Singh,20.0,KXI,3,31,10.33,0,,2000-10-08,4937,India
S Sriram,44.0,"RCB, DDV",2,31,15.5,0,,1976-02-21,2893,India
T Taibu,37.0,KKR,3,31,10.33,0,,1983-05-14,2975,Zimbabwe
NA Saini,28.0,RCB,26,29,14.5,17,45.65,1992-11-23,4656,India
J Syed Mohammad,37.0,RCB,11,29,14.5,8,35.38,1983-03-06,4128,India
VH Zol,26.0,RCB,3,29,14.5,0,,1994-11-23,4129,India
SB Jakati,40.0,"CSK, RCB, GUJ",59,28,28.0,48,30.23,1980-11-27,4130,India
M Markande,23.0,"MIN, RRO",17,27,9.0,16,26.69,1997-11-11,4772,India
JM Kemp,43.0,CSK,5,26,13.0,3,18.0,1977-02-10,2258,South Africa
AB Dinda,36.0,"KKR, DDV, PWI, RCB, RPS",78,26,2.6,69,30.04,1984-03-25,3740,India
NL McCullum,40.0,PWI,2,26,26.0,0,,1980-01-09,3685,New Zealand
AS Rajpoot,27.0,"CSK, KKR, KXI, RRO",29,26,5.2,24,33.33,1993-04-12,4216,India
A Choudhary,30.0,RCB,5,25,25.0,5,28.8,1990-01-28,4043,India
S Chanderpaul,46.0,RCB,3,25,8.33,0,,1974-08-16,1979,West Indies
PJ Sangwan,30.0,"DDV, KKR, GUJ, MIN",39,24,3.43,35,33.57,1990-05-11,4058,India
ER Dwivedi,32.0,GUJ,4,24,12.0,0,,1988-07-22,4074,India
MA Khote,40.0,MIN,4,24,12.0,2,25.5,1980-04-22,4144,India
KC Cariappa,26.0,"KKR, KXI",11,24,8.0,8,43.5,1994-04-13,4394,India
Shivam Mavi,22.0,KKR,17,23,4.6,14,34.43,1998-11-26,4768,India
SW Tait,37.0,RRO,21,23,7.67,23,27.83,1983-02-22,3319,Australia
BMAJ Mendis,37.0,DDV,3,23,7.67,1,36.0,1983-01-15,3787,Sri Lanka
J Arunkumar,45.0,RCB,3,23,7.67,0,,1975-01-18,4170,India
KL Nagarkoti,20.0,KKR,10,22,7.33,5,46.2,1999-12-28,4766,India
YS Chahal,30.0,"MIN, RCB",99,22,3.67,122,22.32,1990-07-23,4063,India
MS Wade,32.0,DDV,3,22,7.33,0,,1987-12-26,3910,Australia
GB Hogg,49.0,"RRO, KKR",21,22,7.33,23,24.78,1971-06-02,2068,Australia
TU Deshpande,25.0,DDV,5,21,21.0,3,64.0,1995-05-15,5849,India
DE Bollinger,39.0,CSK,27,21,21.0,37,18.73,1981-07-24,3631,Australia
Harpreet Singh,29.0,"KKR, PWI",4,20,10.0,0,,1991-11-08,4077,India
Harpreet Brar,25.0,KXI,3,20,,0,,1995-09-16,4935,India
M Muralitharan,48.0,"CSK, KTK, RCB",66,20,3.33,64,26.33,1972-04-17,1234,Sri Lanka
RR Raje,34.0,MIN,10,20,20.0,6,34.83,1986-03-11,4133,India
AC Thomas,43.0,PWI,15,20,10.0,14,29.0,1977-09-02,3700,South Africa
NJ Maddinson,29.0,RCB,3,20,6.67,0,,1991-12-21,4244,Australia
Vishnu Vinod,27.0,RCB,3,19,6.33,0,,1993-02-12,4678,India
DR Martyn,49.0,RRO,1,19,19.0,0,,1971-10-21,1098,Australia
A Mukund,30.0,"CSK, RCB",3,19,9.5,0,,1990-06-01,3864,India
R Bishnoi,33.0,RCB,3,19,6.33,0,,1987-08-10,4152,India
R Shukla,30.0,"MIN, RRO, DDV",7,19,19.0,5,41.6,1990-08-28,4100,India
Y Gnaneswara Rao,36.0,KTK,2,19,19.0,0,,1984-08-25,4206,India
P Ray Barman,18.0,RCB,1,19,19.0,0,,2002-10-25,4949,India
P Sahu,35.0,KXI,5,19,19.0,3,48.67,1985-08-21,4405,India
T Banton,22.0,KKR,2,18,9.0,0,,1998-11-11,5660,England
JJ van der Wath,42.0,RCB,3,18,9.0,3,43.0,1978-10-10,3339,South Africa
KMA Paul,22.0,DDV,8,18,3.6,9,26.33,1998-02-21,4742,West Indies
BJ Haddin,43.0,KKR,1,18,18.0,0,,1977-10-23,2707,Australia
DS Lehmann,50.0,RRO,2,18,9.0,0,,1970-05-02,2139,Australia
PV Tambe,49.0,"RRO, GUJ",33,18,9.0,28,30.46,1971-06-03,4118,India
Harmeet Singh,33.0,"DCH, KXI",27,18,4.5,26,26.81,1987-09-10,4045,India
Parvez Rasool,31.0,"PWI, SUN, RCB",11,17,8.5,4,67.75,1989-02-13,4311,India
RD Chahar,21.0,"RPS, MIN",31,17,8.5,30,26.63,1999-04-08,4670,India
CK Kapugedera,33.0,CSK,5,16,5.33,0,,1987-02-24,3340,Sri Lanka
PP Ojha,34.0,"DCH, MIN",92,16,1.33,89,26.2,1986-05-09,3574,India
VY Mahesh,33.0,"DDV, CSK",18,15,7.5,21,23.76,1987-12-21,4145,India
SA Abbott,28.0,RCB,2,15,7.5,0,,1992-02-29,4331,Australia
C Madan,38.0,MIN,1,15,15.0,0,,1982-10-15,4193,India
GR Napier,40.0,MIN,1,15,15.0,1,27.0,1980-06-01,4164,England
I Udana,32.0,RCB,10,15,5.0,8,35.25,1988-02-17,3699,Sri Lanka
SD Lad,28.0,"MIN, KKR",1,15,15.0,0,,1992-05-23,4398,India
JL Pattinson,30.0,MIN,10,15,15.0,11,29.09,1990-03-05,3854,Australia
AS Joseph,24.0,MIN,3,15,,6,14.5,1996-11-20,4575,West Indies
F Behardien,37.0,KXI,3,14,7.0,0,,1983-09-10,3951,South Africa
MDKJ Perera,30.0,RRO,2,14,7.0,0,,1990-08-17,3994,Sri Lanka
S Badree,39.0,"RRO, CSK, RCB",12,13,2.6,11,29.0,1981-09-03,3959,West Indies
DT Patil,36.0,RCB,2,13,6.5,0,,1984-06-12,4167,India
KJ Abbott,33.0,KXI,5,13,13.0,2,88.5,1987-06-18,4002,South Africa
DR Shorey,28.0,CSK,2,13,6.5,0,,1992-05-06,4755,India
Karanveer Singh,33.0,KXI,9,12,12.0,12,26.75,1987-08-11,4303,India
S Kaul,30.0,"DDV, SUN",46,12,3.0,51,28.41,1990-05-19,4034,India
AR Bawne,28.0,DDV,1,12,,0,,1992-12-17,4655,India
K Upadhyay,34.0,PWI,3,12,,0,,1986-06-18,4087,India
TA Boult,31.0,"SUN, KKR, DDV, MIN",48,12,4.0,63,25.03,1989-07-22,3924,New Zealand
Swapnil Singh,29.0,KXI,5,12,4.0,1,90.0,1991-01-22,4549,India
DAJ Bracewell,30.0,DDV,1,12,,3,10.67,1990-09-28,3911,New Zealand
T Thushara,39.0,CSK,6,12,6.0,8,20.13,1981-01-03,3126,Sri Lanka
AA Chavan,35.0,RRO,13,12,6.0,8,40.75,1985-10-28,4092,India
T Kohli,32.0,"RRO, KXI",4,11,3.67,0,,1988-12-17,4151,India
T Henderson,46.0,RRO,2,11,5.5,1,40.0,1974-01-08,3679,South Africa
DNT Zoysa,42.0,DCH,3,11,11.0,2,49.5,1978-05-13,2095,Sri Lanka
Mujeeb Ur Rahman,19.0,KXI,18,11,3.67,17,33.12,2001-03-28,4714,Afghanistan
M Ntini,43.0,CSK,9,11,11.0,7,34.57,1977-06-07,2137,South Africa
CV Varun,29.0,"KXI, KKR",14,10,5.0,18,21.72,1991-08-29,4938,India
X Thalaivan Sargunam,35.0,SUN,1,10,10.0,0,,1985-05-15,4116,India
BB Sran,28.0,"RRO, SUN, KXI, MIN",24,10,10.0,18,42.06,1992-10-12,4512,India
D du Preez,39.0,RCB,2,10,10.0,4,14.0,1981-08-11,4171,South Africa
AG Murtaza,30.0,"MIN, PWI",12,10,10.0,9,34.78,1990-01-01,4081,India
SMSM Senanayake,35.0,KKR,8,10,10.0,10,20.9,1985-09-02,3928,Sri Lanka
J Theron,35.0,"KXI, DCH, RRO",10,10,5.0,9,32.56,1985-07-24,3824,United States
KAJ Roach,32.0,DCH,2,10,10.0,0,,1988-06-30,3611,West Indies
TD Paine,36.0,PWI,2,10,5.0,0,,1984-08-12,3725,Australia
SM Harwood,46.0,RRO,3,9,,3,24.33,1974-01-03,3662,Australia
AA Noffke,43.0,RCB,1,9,9.0,1,40.0,1977-04-30,3531,Australia
CK Langeveldt,46.0,"KKR, RCB",7,8,4.0,13,14.38,1974-12-17,2991,South Africa
TS Mills,28.0,RCB,5,8,2.67,5,30.6,1992-12-08,4567,England
JPR Scantlebury-Searles,34.0,KKR,4,8,8.0,2,44.5,1986-12-21,4767,West Indies
Jaskaran Singh,31.0,DCH,8,8,8.0,6,28.5,1989-04-09,4135,India
M Ashwin,30.0,"RPS, RCB, KXI",31,8,2.0,25,31.36,1990-08-09,4556,India
TM Srivastava,31.0,KXI,7,8,8.0,0,,1989-07-11,4156,India
CJ McKay,37.0,MIN,2,8,8.0,1,60.0,1983-02-22,3735,Australia
P Chopra,28.0,RRO,2,8,8.0,0,,1992-07-10,4779,India
AN Ghosh,34.0,KKR,2,7,3.5,0,,1986-10-19,4161,India
Pankaj Singh,35.0,"RRO, RCB",17,7,3.5,11,42.55,1985-06-05,3790,India
IS Sodhi,28.0,RRO,8,7,3.5,9,22.44,1992-10-31,4243,New Zealand
Ankit Soni,27.0,GUJ,7,7,3.5,2,58.5,1993-02-08,5019,India
UA Birla,31.0,PWI,2,7,7.0,0,,1989-10-17,4075,India
RK Bhui,24.0,SUN,2,7,3.5,0,,1996-09-29,4409,India
A Nortje,27.0,DDV,16,7,7.0,22,23.27,1993-11-16,4929,South Africa
Ravi Bishnoi,20.0,KXI,14,7,7.0,12,31.33,2000-05-09,5851,India
P Dubey,27.0,DDV,3,7,,0,,1993-01-07,4559,India
AF Milne,28.0,RCB,5,7,3.5,4,44.25,1992-04-13,3839,New Zealand
VS Malik,37.0,"KXI, RRO",13,7,7.0,6,43.5,1983-09-05,4096,India
I Malhotra,36.0,DCH,1,7,,0,,1984-05-22,4203,India
BA Bhatt,30.0,KXI,17,6,6.0,12,33.08,1990-05-13,4040,India
PSP Handscomb,29.0,RPS,2,6,6.0,0,,1991-04-26,4558,Australia
SS Shaikh,33.0,KKR,2,6,6.0,0,,1987-01-18,4177,India
J Yadav,30.0,"DDV, MIN",14,6,3.0,6,48.17,1990-01-22,4390,India
SB Joshi,51.0,RCB,4,6,3.0,1,82.0,1969-06-06,2053,India
DM Bravo,31.0,KKR,1,6,,0,,1989-06-02,3703,West Indies
Rasikh Salam,19.0,MIN,1,5,,0,,2001-05-04,4942,India
B Stanlake,26.0,"RCB, SUN",6,5,,7,28.57,1994-04-11,4626,Australia
KMDN Kulasekara,38.0,CSK,6,5,,5,24.0,1982-07-22,3147,Sri Lanka
B Laughlin,38.0,"CSK, RRO",9,5,2.5,10,28.2,1982-03-10,3657,Australia
Shivam Sharma,27.0,KXI,5,5,5.0,4,41.25,1993-09-09,4377,India
SJ Srivastava,39.0,KXI,14,5,5.0,14,31.5,1981-09-22,4184,India
P Awana,34.0,KXI,33,5,2.5,39,26.38,1986-07-19,3982,India
A Zampa,28.0,"RPS, RCB",14,5,2.5,21,17.62,1992-03-31,4527,Australia
Avesh Khan,24.0,"RCB, DDV",9,4,,5,59.8,1996-12-13,4673,India
A Chandila,37.0,RRO,12,4,,11,22.0,1983-05-12,4091,India
CRD Fernando,41.0,MIN,10,4,,17,17.53,1979-07-19,2223,Sri Lanka
VRV Singh,36.0,KXI,19,4,2.0,12,45.17,1984-09-17,3354,India
FH Edwards,38.0,DCH,6,4,4.0,5,30.8,1982-06-02,3125,West Indies
A Dananjaya,27.0,MIN,1,4,,0,,1993-04-10,3973,Sri Lanka
GD McGrath,50.0,DDV,14,4,4.0,12,29.75,1970-09-02,1133,Australia
Kartik Tyagi,20.0,RRO,10,4,4.0,9,40.78,2000-08-11,5856,India
DP Nannes,44.0,"DDV, RCB, CSK",29,4,4.0,29,27.55,1976-05-16,3697,Australia
A Uniyal,39.0,RRO,2,4,4.0,2,33.0,1981-11-21,4181,India
RS Sodhi,40.0,KXI,3,4,,0,,1980-10-18,2888,India
BAW Mendis,35.0,"KKR, PWI",10,3,1.5,8,35.63,1985-11-03,3545,Sri Lanka
M Prasidh Krishna,24.0,KKR,24,3,3.0,18,44.5,1996-02-19,4930,India
AJ Turner,27.0,RRO,4,3,1.0,0,,1993-01-25,4648,Australia
S Tyagi,33.0,CSK,14,3,3.0,6,49.17,1987-09-17,3743,India
T Natarajan,29.0,"KXI, SUN",22,3,,18,34.39,1991-05-27,4664,India
R Ninan,35.0,RCB,2,3,3.0,3,21.67,1985-11-19,4200,India
Younis Khan,43.0,RRO,1,3,3.0,0,,1977-11-29,2211,Pakistan
GC Viljoen,31.0,KXI,6,3,1.5,7,31.71,1989-06-03,4513,South Africa
JE Taylor,36.0,PWI,5,3,3.0,6,26.17,1984-06-22,3122,West Indies
Mohammad Asif,38.0,DDV,8,3,1.5,8,37.0,1982-12-20,3245,Pakistan
Kamran Khan,29.0,"RRO, PWI",9,3,3.0,9,23.78,1991-10-03,4149,India
D Kalyankrishna,37.0,DCH,3,3,3.0,2,43.5,1983-12-16,4150,India
Mashrafe Mortaza,37.0,KKR,1,2,,0,,1983-05-10,2995,Bangladesh
S Randiv,35.0,CSK,8,2,2.0,6,37.17,1985-01-30,3746,Sri Lanka
RG More,28.0,CSK,2,2,,1,59.0,1992-11-02,4026,India
A Singh,39.0,RRO,23,2,0.5,28,22.14,1981-06-21,4101,India
Shoaib Akhtar,45.0,KKR,3,2,2.0,5,10.8,1975-08-13,2124,Pakistan
Mohammad Ashraful,36.0,MIN,1,2,2.0,0,,1984-07-07,2964,Bangladesh
SB Wagh,32.0,"RRO, PWI",8,2,1.0,5,27.4,1988-09-10,4088,India
RS Gavaskar,44.0,KKR,2,2,2.0,0,,1976-02-20,3159,India
KP Appanna,32.0,RCB,14,2,2.0,9,31.78,1988-12-20,4119,India
VS Yeligati,35.0,MIN,2,2,2.0,0,,1985-04-23,4148,India
H Das,34.0,DCH,1,2,2.0,0,,1986-10-12,4176,India
M de Lange,30.0,"KKR, MIN",5,1,1.0,5,33.8,1990-10-13,3927,South Africa
NJ Rimmington,38.0,KXI,1,1,,0,,1982-11-11,4199,Australia
DP Vijaykumar,34.0,DCH,9,1,,4,49.75,1986-10-20,4165,India
Shoaib Ahmed,33.0,DCH,8,1,0.5,5,30.4,1987-11-19,4160,India
MA Wood,30.0,CSK,1,1,1.0,0,,1990-11-01,4421,England
LE Plunkett,35.0,DDV,7,1,1.0,4,56.25,1985-06-04,3331,England
SE Bond,45.0,KKR,8,1,1.0,9,24.89,1975-07-06,2996,New Zealand
BE Hendricks,30.0,KXI,7,1,1.0,9,26.11,1990-08-06,4273,South Africa
Shahbaz Ahmed,26.0,RCB,2,1,,2,22.0,1994-12-12,5861,India
P Parameswaran,35.0,"KTK, RCB",8,1,,9,24.89,1985-05-30,4124,India
DJ Muthuswami,39.0,DDV,5,1,1.0,3,27.67,1981-09-03,4411,India
HF Gurney,34.0,KKR,8,1,,7,34.0,1986-10-25,4307,England
Mustafizur Rahman,25.0,"SUN, MIN",24,1,1.0,24,28.54,1995-06-09,4414,Bangladesh
PM Sarvesh Kumar,31.0,DCH,2,1,,1,42.0,1989-04-26,4172,India
Arshdeep Singh,21.0,KXI,11,0,0.0,12,27.25,1999-05-02,4933,India
Anand Rajan,33.0,SUN,2,0,,2,21.0,1987-04-17,4105,India
C Ganapathy,39.0,CSK,1,0,,0,,1981-10-06,4188,India
KM Asif,27.0,CSK,2,0,,3,25.0,1993-07-24,4749,India
S Sandeep Warrier,29.0,KKR,4,0,,2,59.5,1991-04-04,4126,India
D Joseph,39.0,DDV,1,0,,1,18.0,1981-09-03,4385,India
Gagandeep Singh,39.0,KXI,4,0,,3,47.0,1981-03-10,4162,India
JL Denly,34.0,KKR,1,0,0.0,0,,1986-03-16,3724,England
U Kaul,33.0,KXI,5,0,,0,,1987-02-12,4168,India
R Pawar,41.0,MIN,1,0,,0,,1979-06-09,4175,India
Harmeet Singh (2),28.0,RRO,1,0,,1,34.0,1992-07-09,4095,India
Tejas Baroka,24.0,GUJ,1,0,,0,,1996-01-02,4663,India
BW Hilfenhaus,37.0,CSK,17,0,,22,21.77,1983-03-15,3455,Australia
AS Roy,22.0,MIN,1,0,,1,11.0,1998-11-30,4775,India
TP Sudhindra,36.0,DCH,3,0,,1,136.0,1984-04-24,4210,India
IC Pandey,31.0,"PWI, CSK",25,0,0.0,18,32.83,1989-10-15,4082,India
DJ Willey,30.0,CSK,3,0,,2,47.5,1990-02-28,4420,England
K Khejroliya,28.0,RCB,5,0,,3,51.0,1992-03-13,4669,India
T Shamsi,30.0,RCB,4,0,,3,49.0,1990-02-18,4562,South Africa
SS Sarkar,36.0,KKR,2,0,,1,34.0,1984-12-15,4174,India
Anand Rajan,33.0,DCH,6,0,,6,26.5,1987-04-17,4205,India
P Amarnath,38.0,CSK,6,0,,7,33.71,1982-01-06,4138,India
B Geeves,38.0,DDV,2,0,,1,91.0,1982-06-13,3615,Australia
KK Ahmed,23.0,SUN,17,0,0.0,27,21.0,1997-05-12,4539,India
SS Agarwal,27.0,GUJ,1,0,,1,42.0,1993-11-21,4658,India
L Ablish,38.0,KXI,3,0,,3,25.0,1982-03-12,4191,India
Abdur Razzak,38.0,RCB,1,0,,0,,1982-06-15,3180,Bangladesh
AA Kazi,31.0,RCB,1,0,,0,,1989-09-29,4204,India
RA Shaikh,35.0,MIN,1,0,,0,,1985-12-06,4178,India
YA Abdulla,37.0,KXI,11,0,,15,20.47,1983-01-17,3694,South Africa
K Santokie,36.0,MIN,2,0,,3,30.0,1984-12-20,3907,West Indies
SS Mundhe,32.0,PWI,1,0,,1,6.0,1988-10-27,4208,India
AM Salvi,39.0,DDV,7,0,,7,28.57,1981-10-20,3106,India
JP Behrendorff,30.0,MIN,5,0,,5,33.0,1990-04-20,4705,Australia
RR Bhatkal,35.0,RCB,1,0,0.0,0,,1985-01-09,4211,India
S Midhun,26.0,RRO,1,0,,0,,1994-07-10,4780,India
JW Hastings,35.0,"CSK, KKR",3,0,,3,22.0,1985-04-11,3831,Australia
P Prasanth,35.0,KTK,1,0,,0,,1985-05-22,4109,India
S Kaushik,25.0,GUJ,10,0,0.0,6,49.5,1995-09-07,4545,India
V Pratap Singh,28.0,DCH,9,0,0.0,10,29.6,1992-03-05,4110,India
O Thomas,23.0,RRO,4,0,,5,15.8,1997-02-18,4822,West Indies
RW Price,44.0,MIN,1,0,,0,,1976-12-06,2201,Zimbabwe
SC Kuggeleijn,28.0,CSK,2,0,,2,35.5,1992-03-01,4685,New Zealand
GS Sandhu,27.0,DDV,3,0,,1,82.0,1993-06-14,4374,Australia
Y Prithvi Raj,22.0,KKR,2,0,,1,57.0,1998-02-20,4939,India
NB Singh,25.0,GUJ,2,0,,1,15.0,1995-08-09,4555,India
SS Cottrell,31.0,KXI,6,0,0.0,6,29.33,1989-08-19,4249,West Indies
CJ Dala,30.0,DDV,1,0,,0,,1989-12-29,4739,South Africa
T Mishra,34.0,DCH,1,0,,0,,1986-12-22,3345,Kenya
KH Devdhar,31.0,DCH,1,0,,0,,1989-12-14,4207,India
C Nanda,41.0,MIN,3,0,0.0,2,28.5,1979-03-29,4173,India
Monu Kumar,26.0,CSK,1,0,,0,,1994-05-11,4753,India
JR Hazlewood,29.0,CSK,3,0,,1,64.0,1991-08-01,3799,Australia
MB Parmar,32.0,KKR,1,0,,0,,1988-12-04,4189,India
P Suyal,31.0,MIN,5,0,,2,75.5,1989-10-15,4071,India
A Nel,43.0,MIN,1,0,0.0,1,31.0,1977-07-15,2970,South Africa
CJ Green,27.0,KKR,1,0,,0,,1993-01-10,5853,Australia
P Dharmani,46.0,KXI,1,0,,0,,1974-09-27,2668,India
Sunny Gupta,32.0,DDV,1,0,0.0,0,,1988-09-27,4213,India
MG Neser,30.0,KXI,1,0,,0,,1990-03-29,4201,Australia
L Ngidi,24.0,CSK,11,0,,20,16.15,1996-03-29,4636,South Africa
SM Boland,31.0,RPS,2,0,,2,27.0,1989-11-04,4511,Australia
ND Doshi,42.0,"RCB, RRO",4,0,0.0,2,39.5,1978-06-10,4195,India
DR Sams,28.0,DDV,3,0,0.0,0,,1992-10-27,5847,Australia
MJ Henry,29.0,KXI,2,0,,1,71.0,1991-12-14,4257,New Zealand
S Ladda,34.0,"DDV, KKR, GUJ",9,0,0.0,5,44.8,1986-10-07,4053,India
S Lamichhane,20.0,DDV,9,0,0.0,13,22.46,2000-02-08,4757,Nepal
RR Bose,41.0,KXI,1,0,,0,,1979-02-27,4158,India
